Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,CUSIP,Exchange,Location,Currency,Market Currency
SUL,SUPER RETAIL GROUP LTD,Equity,0.07,7.80,"197,686.00","1,541,950.80","1,541,950.80",Consumer Discretionary,B01C7R0,AU000000SUL0,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
OBL,OMNI BRIDGEWAY LTD,Equity,0.07,4.84,"311,342.00","1,506,895.28","1,506,895.28",Financials,BM95XH7,AU0000082489,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CGC,COSTA GROUP HOLDINGS LTD,Equity,0.07,2.91,"516,088.00","1,501,816.08","1,501,816.08",Consumer Staples,BYSGKW9,AU000000CGC2,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ING,INGHAMS GROUP LTD,Equity,0.07,3.51,"426,265.00","1,496,190.15","1,496,190.15",Consumer Staples,BZCNHW2,AU000000ING6,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
PTM,PLATINUM ASSET MANAGEMENT LTD,Equity,0.07,3.83,"385,429.00","1,476,193.07","1,476,193.07",Financials,B1XK7G8,AU000000PTM6,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SPK,SPARK NEW ZEALAND LTD,Equity,0.07,4.44,"326,639.00","1,450,277.16","1,450,277.16",Communication,6881500,NZTELE0001S4,S68815000,ASX - All Markets,New Zealand,Australian Dollar,Australian Dollar
JHG,JANUS HENDERSON GROUP CDI PLC,Equity,0.07,29.91,"48,192.00","1,441,422.72","1,441,422.72",Financials,BYW5KD3,AU000000JHG6,--,ASX - All Markets,United States,Australian Dollar,Australian Dollar
EML,EML PAYMENTS LTD,Equity,0.07,3.12,"459,157.00","1,432,569.84","1,432,569.84",Information Technology,B7ZGK34,AU000000EML7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CCP,CREDIT CORP GROUP LTD,Equity,0.07,16.96,"82,365.00","1,396,910.40","1,396,910.40",Financials,6287658,AU000000CCP3,S62876586,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
UMG,UNITED MALT GROUP LTD,Equity,0.07,4.08,"337,964.00","1,378,893.12","1,378,893.12",Consumer Staples,BLHVB76,AU0000079691,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BVS,BRAVURA SOLUTIONS LTD,Equity,0.07,4.45,"309,527.00","1,377,395.15","1,377,395.15",Information Technology,BZBHBM3,AU000000BVS9,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
APE,AP EAGERS LTD,Equity,0.07,6.32,"217,802.00","1,376,508.64","1,376,508.64",Consumer Discretionary,6296201,AU000000APE3,S62962014,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
FBU,FLETCHER BUILDING LTD,Equity,0.06,3.17,"429,390.00","1,361,166.30","1,361,166.30",Materials,6341617,NZFBUE0001S0,S63416176,ASX - All Markets,New Zealand,Australian Dollar,Australian Dollar
CIP,CENTURIA INDUSTR UNITS,Equity,0.06,3.27,"412,126.00","1,347,652.02","1,347,652.02",Real Estate,BD31FD8,AU000000CIP0,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CUV,CLINUVEL PHARMACEUTICALS LTD,Equity,0.06,23.40,"57,081.00","1,335,695.40","1,335,695.40",Health Care,6328405,AU000000CUV3,S63284053,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
URW,UNIBAIL-RODAMCO-WESTFIELD CDI,Equity,0.06,4.10,"324,361.00","1,329,880.10","1,329,880.10",Real Estate,BDDR365,AU0000009771,--,ASX - All Markets,France,Australian Dollar,Australian Dollar
ASB,AUSTAL LTD,Equity,0.06,3.26,"406,018.00","1,323,618.68","1,323,618.68",Industrials,6137162,AU000000ASB3,S61371621,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
